,To Do,In Progress,Done
2020-08-24,46.0,0.0,0.0
2020-08-25,46.0,0.0,0.0
2020-08-26,46.0,0.0,0.0
2020-08-27,46.0,6.0,2.0
2020-08-28,46.0,7.0,2.0
2020-08-29,46.0,7.0,2.0
2020-08-30,46.0,7.0,2.0
2020-08-31,46.0,7.0,2.0
2020-09-01,46.0,7.0,2.0
2020-09-02,53.0,14.0,8.0
2020-09-03,53.0,14.0,8.0
2020-09-04,55.0,14.0,8.0
2020-09-05,55.0,14.0,8.0
2020-09-06,55.0,14.0,8.0
2020-09-07,79.0,24.0,22.0
2020-09-08,79.0,25.0,22.0
2020-09-09,79.0,25.0,22.0
2020-09-10,81.0,27.0,25.0
2020-09-11,83.0,33.0,27.0
2020-09-12,83.0,33.0,27.0
2020-09-13,83.0,34.0,27.0
2020-09-14,83.0,34.0,27.0
2020-09-15,83.0,34.0,27.0
2020-09-16,83.0,34.0,27.0
2020-09-17,83.0,34.0,28.0
2020-09-18,83.0,36.0,30.0
2020-09-19,83.0,36.0,30.0
2020-09-20,83.0,36.0,30.0
2020-09-21,83.0,37.0,32.0
2020-09-22,83.0,37.0,32.0
2020-09-23,83.0,37.0,32.0
2020-09-24,83.0,38.0,34.0
2020-09-25,84.0,41.0,39.0
2020-09-26,84.0,41.0,39.0
2020-09-27,84.0,41.0,39.0
2020-09-28,99.0,49.0,40.0
2020-09-29,99.0,49.0,40.0
2020-09-30,99.0,49.0,40.0
2020-10-01,99.0,49.0,40.0
2020-10-02,99.0,49.0,40.0
2020-10-03,99.0,49.0,40.0
2020-10-04,99.0,49.0,40.0
2020-10-05,99.0,49.0,40.0
2020-10-06,99.0,49.0,40.0
2020-10-07,99.0,49.0,40.0
2020-10-08,99.0,49.0,44.0
2020-10-09,99.0,49.0,44.0
2020-10-10,99.0,50.0,45.0
2020-10-11,99.0,50.0,45.0
2020-10-12,99.0,52.0,45.0
2020-10-13,99.0,53.0,45.0
2020-10-14,99.0,53.0,45.0
2020-10-15,99.0,53.0,45.0
2020-10-16,99.0,53.0,47.0
2020-10-17,99.0,55.0,51.0
2020-10-18,99.0,56.0,51.0
2020-10-19,99.0,57.0,53.0
2020-10-20,99.0,57.0,53.0
2020-10-21,99.0,59.0,54.0
2020-10-22,99.0,59.0,54.0
2020-10-23,99.0,59.0,54.0
2020-10-24,99.0,60.0,54.0
2020-10-25,99.0,60.0,54.0
2020-10-26,104.0,68.0,67.0
2020-10-27,104.0,68.0,67.0
2020-10-28,104.0,68.0,67.0
2020-10-29,104.0,68.0,67.0
2020-10-30,104.0,68.0,67.0
2020-10-31,104.0,90.0,89.0
2020-11-01,104.0,90.0,89.0
2020-11-02,104.0,90.0,89.0
2020-11-03,104.0,90.0,89.0
2020-11-04,104.0,90.0,89.0
2020-11-05,104.0,96.0,96.0
